From,About,Sentiment
Angelina,Aubry,Friend
Angelina,Chrissy,Friend
Angelina,Christian,Friend
Angelina,Mike,Friend
Angelina,Rick,Friend
Angelina,Jonathan,50/50
Angelina,Dee,Leaning positive
Angelina,Emily,50/50
Angelina,Charlie,50/50
Angelina,Q,Friend
Angelina,Tiffany,Friend
Angelina,Genevieve,50/50
Angelina,Joe,Friend
Angelina,Kamilla,50/50
Angelina,Kyle,Friend
Angelina,Rizo,50/50
Angelina,Savannah,Leaning positive
Christian,Jenna,Friend
Christian,Colby,Leaning negative
Christian,Stephenie,Leaning negative
Christian,Cirie,Friend
Christian,Ozzy,Friend
Christian,Coach,Friend
Christian,Aubry,Friend
Christian,Chrissy,Friend
Christian,Angelina,Foe
Christian,Mike,Leaning positive
Christian,Rick,Friend
Christian,Jonathan,Friend
Christian,Dee,Foe
Christian,Emily,Leaning positive
Christian,Charlie,Foe
Christian,Q,Leaning negative
Christian,Tiffany,Friend
Christian,Genevieve,Friend
Christian,Joe,Friend
Christian,Kamilla,Leaning negative
Christian,Kyle,Foe
Christian,Rizo,Foe
Christian,Savannah,Foe
Mike,Jenna,Friend
Mike,Colby,Friend
Mike,Stephenie,Friend
Mike,Cirie,Friend
Mike,Ozzy,Friend
Mike,Coach,Leaning positive
Mike,Aubry,Friend
Mike,Chrissy,Leaning negative
Mike,Angelina,Friend
Mike,Christian,Friend
Mike,Rick,50/50
Mike,Jonathan,Friend
Mike,Dee,Foe
Mike,Emily,Friend
Mike,Charlie,Foe
Mike,Q,Friend
Mike,Tiffany,Friend
Mike,Genevieve,Leaning negative
Mike,Joe,Foe
Mike,Kamilla,Friend
Mike,Kyle,Foe
Mike,Rizo,50/50
Mike,Savannah,Leaning positive
Rick,Jenna,Friend
Rick,Colby,Friend
Rick,Stephenie,Leaning negative
Rick,Cirie,Foe
Rick,Ozzy,Friend
Rick,Coach,Friend
Rick,Aubry,Friend
Rick,Chrissy,Friend
Rick,Angelina,Friend
Rick,Christian,Leaning positive
Rick,Mike,Leaning positive
Rick,Jonathan,Friend
Rick,Dee,Foe
Rick,Emily,Friend
Rick,Charlie,Foe
Rick,Q,Friend
Rick,Tiffany,Friend
Rick,Genevieve,Friend
Rick,Joe,Foe
Rick,Kamilla,Friend
Rick,Kyle,Friend
Rick,Rizo,Friend
Rick,Savannah,50/50
Jonathan,Jenna,Friend
Jonathan,Colby,Friend
Jonathan,Stephenie,Friend
Jonathan,Cirie,50/50
Jonathan,Ozzy,Friend
Jonathan,Coach,Friend
Jonathan,Aubry,Foe
Jonathan,Chrissy,Friend
Jonathan,Angelina,50/50
Jonathan,Christian,Friend
Jonathan,Mike,Friend
Jonathan,Rick,Leaning negative
Jonathan,Dee,Foe
Jonathan,Emily,Friend
Jonathan,Charlie,Foe
Jonathan,Q,50/50
Jonathan,Tiffany,Leaning positive
Jonathan,Genevieve,50/50
Jonathan,Joe,Friend
Jonathan,Kamilla,Foe
Jonathan,Kyle,Foe
Jonathan,Rizo,Foe
Jonathan,Savannah,Foe
Dee,Jenna,Friend
Dee,Colby,Foe
Dee,Stephenie,Leaning negative
Dee,Cirie,Friend
Dee,Ozzy,Friend
Dee,Coach,Leaning positive
Dee,Aubry,Foe
Dee,Chrissy,Foe
Dee,Angelina,Friend
Dee,Christian,Leaning positive
Dee,Mike,Friend
Dee,Rick,Foe
Dee,Jonathan,Friend
Dee,Emily,Leaning positive
Dee,Charlie,Leaning positive
Dee,Q,Friend
Dee,Tiffany,Leaning positive
Dee,Genevieve,Foe
Dee,Joe,Leaning positive
Dee,Kamilla,Friend
Dee,Kyle,Friend
Dee,Rizo,Foe
Dee,Savannah,Foe
Emily,Jenna,50/50
Emily,Colby,Foe
Emily,Stephenie,Foe
Emily,Cirie,Leaning negative
Emily,Ozzy,Leaning positive
Emily,Coach,Friend
Emily,Aubry,Friend
Emily,Chrissy,Friend
Emily,Angelina,Leaning negative
Emily,Christian,Leaning positive
Emily,Mike,Foe
Emily,Rick,Foe
Emily,Jonathan,Leaning negative
Emily,Dee,Leaning positive
Emily,Charlie,Friend
Emily,Q,Leaning positive
Emily,Tiffany,Foe
Emily,Genevieve,Friend
Emily,Joe,Leaning negative
Emily,Kamilla,Leaning positive
Emily,Kyle,Leaning negative
Emily,Rizo,Friend
Emily,Savannah,50/50
Charlie,Jenna,Friend
Charlie,Colby,Leaning negative
Charlie,Stephenie,Leaning negative
Charlie,Cirie,Friend
Charlie,Ozzy,Leaning negative
Charlie,Coach,Friend
Charlie,Aubry,Leaning positive
Charlie,Chrissy,Friend
Charlie,Angelina,Friend
Charlie,Christian,Friend
Charlie,Mike,Friend
Charlie,Rick,Leaning negative
Charlie,Jonathan,Leaning negative
Charlie,Dee,Friend
Charlie,Emily,Friend
Charlie,Q,Leaning negative
Charlie,Tiffany,Leaning positive
Charlie,Genevieve,Friend
Charlie,Joe,Leaning negative
Charlie,Kamilla,Leaning negative
Charlie,Kyle,Friend
Charlie,Rizo,50/50
Charlie,Savannah,50/50
Q,Jenna,Friend
Q,Colby,Foe
Q,Stephenie,Foe
Q,Cirie,Leaning positive
Q,Ozzy,Friend
Q,Coach,50/50
Q,Aubry,Leaning negative
Q,Chrissy,Foe
Q,Angelina,Foe
Q,Christian,50/50
Q,Mike,Leaning positive
Q,Rick,Foe
Q,Jonathan,Friend
Q,Dee,Leaning positive
Q,Emily,Foe
Q,Charlie,Foe
Q,Tiffany,Friend
Q,Genevieve,Friend
Q,Joe,Leaning positive
Q,Kamilla,Friend
Q,Kyle,Leaning positive
Q,Rizo,Foe
Q,Savannah,Foe
Tiffany,Jenna,Foe
Tiffany,Colby,Leaning negative
Tiffany,Stephenie,Friend
Tiffany,Cirie,Friend
Tiffany,Ozzy,50/50
Tiffany,Coach,Friend
Tiffany,Aubry,Friend
Tiffany,Chrissy,Friend
Tiffany,Angelina,Foe
Tiffany,Christian,Friend
Tiffany,Mike,Friend
Tiffany,Rick,Foe
Tiffany,Jonathan,Friend
Tiffany,Dee,50/50
Tiffany,Emily,50/50
Tiffany,Charlie,Leaning positive
Tiffany,Q,Leaning negative
Tiffany,Genevieve,Friend
Tiffany,Joe,Leaning positive
Tiffany,Kamilla,Leaning positive
Tiffany,Kyle,Friend
Tiffany,Rizo,Leaning negative
Tiffany,Savannah,Leaning negative
Genevieve,Jenna,Friend
Genevieve,Colby,Foe
Genevieve,Stephenie,Friend
Genevieve,Cirie,Leaning negative
Genevieve,Ozzy,Friend
Genevieve,Coach,Friend
Genevieve,Aubry,Leaning positive
Genevieve,Chrissy,Friend
Genevieve,Angelina,Friend
Genevieve,Christian,Friend
Genevieve,Mike,Leaning negative
Genevieve,Rick,Leaning positive
Genevieve,Jonathan,50/50
Genevieve,Dee,Friend
Genevieve,Emily,Friend
Genevieve,Charlie,Leaning negative
Genevieve,Q,Friend
Genevieve,Tiffany,Leaning negative
Genevieve,Joe,Foe
Genevieve,Kamilla,Friend
Genevieve,Kyle,Friend
Genevieve,Rizo,Leaning negative
Genevieve,Savannah,50/50
Joe,Jenna,Friend
Joe,Colby,Friend
Joe,Stephenie,Friend
Joe,Cirie,Friend
Joe,Ozzy,Friend
Joe,Coach,Friend
Joe,Aubry,Friend
Joe,Chrissy,Friend
Joe,Angelina,Friend
Joe,Christian,Friend
Joe,Mike,Friend
Joe,Rick,Friend
Joe,Jonathan,Friend
Joe,Dee,Friend
Joe,Emily,Friend
Joe,Charlie,Friend
Joe,Q,Friend
Joe,Tiffany,Friend
Joe,Genevieve,Friend
Joe,Kamilla,Foe
Joe,Kyle,Leaning positive
Joe,Rizo,Foe
Joe,Savannah,Foe
Kamilla,Jenna,Friend
Kamilla,Colby,Friend
Kamilla,Stephenie,Friend
Kamilla,Cirie,Foe
Kamilla,Ozzy,Friend
Kamilla,Coach,Friend
Kamilla,Aubry,Leaning positive
Kamilla,Chrissy,Leaning negative
Kamilla,Angelina,Friend
Kamilla,Christian,Foe
Kamilla,Mike,Foe
Kamilla,Rick,Foe
Kamilla,Jonathan,50/50
Kamilla,Dee,Friend
Kamilla,Emily,Leaning negative
Kamilla,Charlie,Friend
Kamilla,Q,Foe
Kamilla,Tiffany,Friend
Kamilla,Genevieve,Foe
Kamilla,Joe,Friend
Kamilla,Kyle,Foe
Kamilla,Rizo,Foe
Kamilla,Savannah,Foe
Kyle,Jenna,Friend
Kyle,Colby,Friend
Kyle,Stephenie,Friend
Kyle,Cirie,Leaning positive
Kyle,Ozzy,Friend
Kyle,Coach,Foe
Kyle,Aubry,Friend
Kyle,Chrissy,Foe
Kyle,Angelina,Friend
Kyle,Christian,Friend
